issue_id|post_id|proposed_values_id
100294307|100294307|1
100294307|100294307|1
100294307|134406504|1
102087534|102087534|1
102087534|102087534|11
102087534|132939343|1
102087534|132940239|1
102935569|102935569|1
102935569|102935569|1
102935569|134707216|1
102935569|209763047|1
102935569|209827733|1
103088678|103088678|1
103088678|103088678|1
103088678|134704987|1
103209511|103209511|1
103209511|103209511|1
103209511|313002983|1
103209511|313004842|1
103209511|466682395|1
103209511|519956820|1
103209511|532647441|1
10334725|10334725|1
10334725|10334725|1
10334725|12818128|2
10334725|12818402|1
10334725|12818795|1
10334725|25129638|1
10334725|25130048|2
10334725|36074835|3
10334725|36091267|1
10334725|216066941|1
10334725|216102502|1
10334725|216398414|1
103466687|103466687|1
103466687|103466687|1
103466687|135375869|1
103466687|135376499|1
103466687|135378506|1
103466687|135381738|1
103466687|135709527|1
103466687|136174318|1
103466687|136195918|1
103466687|136196764|1
103466687|136284426|1
103466687|137582185|1
103466687|141697432|1
103466687|142919552|1
103466687|145370259|1
103466687|148207281|1
104496847|104496847|1
104496847|104496847|3
104496847|104496847|6
104496847|104496847|18
104496847|137111455|1
104496847|137170312|1
105027695|105027695|1
105027695|105027695|1
105087940|105087940|1
105087940|105087940|6
105170615|105170615|1
105170615|105170615|1
105170615|138560670|1
105170615|138594816|1
105170615|139666911|1
105170615|140066749|1
105170615|140067701|1
105170615|140134438|1
105170615|141113048|1
105170615|141194212|1
105170615|146321696|1
105170615|220342200|1
105170615|220453481|1
105170615|220519686|1
105170615|220781036|1
105170615|220796259|1
105170615|220801361|1
105602265|105602265|1
105602265|105602265|1
105602265|138939385|10
106578683|106578683|1
106578683|106578683|1
106578683|151124566|1
106578683|168239980|1
106578683|168278277|1
106578683|168344929|1
106578683|252427749|1
106578683|252445208|1
106742294|106742294|1
106742294|106742294|1
106742294|378057705|1
106869141|106869141|1
106869141|106869141|1
106869141|140908097|1
106869141|141183051|1
107161719|107161719|1
107161719|107161719|1
107161719|142456082|1
107406152|107406152|1
107406152|107406152|5
107406152|107406152|10
107550185|107550185|1
107550185|107550185|1
107550185|142455904|1
107550185|142474264|1
107665026|107665026|1
107665026|107665026|1
107665026|142452582|1
107665026|145208166|1
108169912|108169912|1
108169912|108169912|1
108169912|144807175|1
108761302|108761302|1
108761302|108761302|1
108761302|143895251|1
